ab0aa5f29e27fb76b96b2ebd05ae1b59b92e6d9e17fecda16839957e0c332390,11,614,11,Lcom/tyc/lotterychart
fb3a3ae820d136794f391209ca3c7cdfe6d676fc1528e7f75c59a07b8385eaf8,561,10,399,Llecho/lib/hellocharts
20f2bf41857364d631d3e8a3b40e97dd2409d4c874ca8ab4614f4100cc53c503,23,56,23,Lnet/droidsolutions/droidcharts/core/text
15c59cdac6a748ebe81211baf1586633d9c325e6496e32369a4a0b3701ef9ec9,11,306,11,Lcom/toutouunion/widget/chart
e2e1737ee5d6c40f8270321fb67275e86ea5767ea296446d0d1ca919df2b7d01,23,39,23,Lcom/github/mikephil/charting/components
3096613baacb7e798b252944cb33d17d3a90378cafb2fdc13374b78109a4ae94,12,88,12,Lcom/mpandroidchart/charts
146227bc7f300e344b5782f569f8ab403146f1e470ca12ede3441171dc06ef42,29,108,29,Lcom/github/mikephil/charting/charts
72525fc509fe93e7a1aefb3f0e3f3ea0d82ad15752d2e53f719a50377937c9d1,13,27,5,Lorg/achartengine/c
3e55e3c829c6756b3221df924795bdf39f2eff61cb594113e99671b11980e5c1,17,25,17,Lcom/telerik/widget/chart/visualization/annotations
9f4157407b9ce96959ab1715b795f2e090f9489b74fb9fb4e93bad4d4aee952b,13,12,8,Lcom/sina/licaishi_library/stock/chart
4f711f8596e7925c15cc13d83864443fd363bae8115df189f52ace742564a696,11,1060,11,Lcom/czzdit/mit_atrade/third/achartengine
84847e11f6932e17305b6fd96b756c9a2fde38a3e3255aa960b96a08992cb3bb,17,122,17,Lcom/github/mikephil/charting/data
32eda8e3f29ddf3d8fa936bfd27ab70fa05a058998c5c3f37f2a7d8b92cba85c,15,1244,15,Lnet/droidsolutions/droidcharts/core
6c4f3fb45a97b16ca870fa3e08c629e7a0eb0d3b72556245bea826b43338c1b8,12,19,6,Lorg/achartengine/b
8f7f3e867dd3863e36b56d85b19dc3ace74f06c4fafd2ee1b3c5cd53d2b3c2db,16,17,16,Lorg/achartengine/util
b5e456036f1f2606449b89c6087d21ae4581f447fffa447ed498ae182463bdbe,16,380,16,Lcom/easylife/widget/newchart
244b283117a77d8352f632f86075ce008ed6b7a7b52cb5a0d882e92719af8ef7,19,52,19,Lcom/oacrm/gman/chart
9563398e34a17897e6817242f151e2a19685e48ba76b38413dd59ba89109876e,20,72,20,Lcom/snda/common/chart/view
34376539225bd37ec884b7c9e03b581caa27229f405e6e20d3223acd0dacde31,13,561,13,Lcom/github/mikephil/charting/charts
4a170c03543408681a0900f9a3c90b4317dbcd7e5ac0bb2329349b1b14cd328f,24,8,24,Lcom/spilgames/spilsdk/ads/chartboost
d7a7b7f03eeeaed5c0321f97e61451f1d935dad21d2fac791a3de370a4b1bc51,14,39,14,Lcom/github/mikephil/charting/c
b3820f97ecc18e6c46f8fdc9ed43812f8c550e94bc8007ecf710b7348b29dadd,1102,1377,1100,Lcom/chartboost/sdk/impl
7237eed9105be018dd085447a49f6c487f3607950436498bf43b0c3a19e58ffd,1313,252,1075,Lcom/github/mikephil/charting/utils
0d8eefca7b07aed8104f9b6e093193a10272aa876b5912c4d606b9f5a6814d0a,13,15,13,Lcom/ludei/ads/chartboost
ccc05c501d513b23078e383bbca98973a7bc2dd653d38fb6cffdc9f7048fc68c,11,463,11,Lorg/achartengine
c3656b2f3865e4dcf5a6b955495e9c66e42880efa4d2159dfc703ac946ce4130,101,23,101,Lcom/neatplug/u3d/plugins/chartboost
ee627f9aca2d583accbb6a4b6151f0092419d1d0b2456bce0a19491ca97d16ae,11,646,11,Lcom/github/mikephil/charting
06e08b8ec68e85ca8506f7a8d267fc6e268848bbb0507c8fbb1d822de4d615c7,16,182,16,Lcom/github/mikephil/charting/data
9e258bc8275edb6418c5d45e8193966b5cc2560f729175164f3808563536f0b8,39,1309,37,Lcom/chartboost/sdk/e
8ca5f405cba4bc100df232864b17bb8ee4bc8f63d0fd8450008383fd94e9e9c0,31,669,31,Lcom/github/mikephil/charting
5b31b95ed2817b25eabef53d1daabe219bb70953c7ead7e5eecb5b0a8833b212,86,96,86,Lcom/github/mikephil/charting/utils
31f57c40f7da71835a19f0ef7e20666df358276e33e819b8e7b2d313fc7f0864,12,77,12,Lcom/samsung/android/app/shealth/visualization/chart/shealth/holisticreport/balance
ca0e41d4bf34219e2740ca68136b6d1989296bdacbc657795127eb8f2ba91351,795,1410,795,Lcom/chartboost/sdk/impl
466d2fea678b4b4be06f5e8bc0c8f8dd9e2f858ec48020420aa56b87a8f691f6,17,91,17,Llecho/lib/hellocharts/model
31c06aba36ef48fbfa29ad67765a3e5c44c4dd9cdfd248a5ad54289c04e9d603,11,291,9,Lcom/github/mikephil/charting/g
a1f6dd7433ab27817d45cc9947385c51ecc7da118c39de43cb6d5ee2d0666445,12,32,12,Lcom/barchart/udt/util
ed2bff94d6c9756bef9f36f8444816e934e925dd3cc91a5a9f47a2db12e22474,19,135,19,Lcom/addit/cn/customer/contract/planchart
e0b51ac7dfa642748815ab34f872af14b0e4a070ef8adc6f39c1a0b478e13ca3,12,99,12,Lcom/github/mikephil/charting/charts
cbb3b85683df0b0b31738149a0cf8b75d9be9124f70c7a1667b3f11201dba6e4,14,31,14,Lorg/achartengine/renderer
